,title,row2,row3,job_description,skills,row6,link
0,Sr. Data Analytics Manager,Naukri Premium - Employer Services,"7-12 Yrs
20-30 Lacs PA
Gurugram, Haryana, Bengaluru, Mumbai (All Areas)",Role & responsibilities Responsibilities:- - Lead and manage a team of data analysts f...,"['Tableau', 'Data Analytics', 'SQL', 'Team Handling', 'Product Analytics', 'Handling', 'Management', 'Team']","22 Days Ago
Save",https://www.naukri.com/job-listings-sr-data-analytics-manager-naukri-employer-services-gurugram-haryana-bengaluru-mumbai-all-areas-7-to-12-years-030324002328
1,Data Scientist,Naukri Premium - Employer Services,"7-12 Yrs
Not disclosed
Hybrid - Bengaluru",Candidates with additional experience in natural language processing and other approach...,"['Data Scientist', 'Statistical Modeling', 'statistical analysis', 'Data Science', 'R', 'ML Modeling', 'data mining', 'Cloud']","19 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-naukri-employer-services-bengaluru-7-to-12-years-060324007750
2,LoanIQ - Business Analyst,"Infosys
3.8
32296 Reviews","7-10 Yrs
Not disclosed
Bengaluru",Bachelors degree or foreign equivalent required from an accredited institutionBachelor ...,"['LoanIQ', 'functional architecture', 'chartered accountant', 'business management', 'it transformation', 'business analysis', 'accounting', 'commercial lending']","5 Days Ago
Save",https://www.naukri.com/job-listings-loaniq-business-analyst-infosys-limited-bengaluru-7-to-10-years-200324906055
3,Business Analyst - Calypso/Murex,"Infosys
3.8
32296 Reviews","5-7 Yrs
Not disclosed
Pune",Bachelor of Engineering . Service Line Good knowledge on software configuration managem...,"['Calypso', 'Openlink Endure', 'Capital Markets', 'SIMCORP', 'TLM', 'Avaloq', 'Eagle Pace', 'Murex']","6 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-calypso-murex-infosys-limited-pune-5-to-7-years-190324910343
4,Business Analyst - Wealth Management,"Infosys
3.8
32296 Reviews","2-7 Yrs
Not disclosed
Pune","Bachelor of Engineering, Bachelor Of Technology (Integrated), Bachelor Of Business Adm....","['Wealth Management', 'Openlink Endure', 'Capital Markets', 'Financial Services', 'Summit', 'Murex', 'Gloss', 'SIMCORP']","7 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-wealth-management-infosys-limited-pune-2-to-7-years-180324904704
5,Data Scientist,"Infosys
3.8
32296 Reviews","2-5 Yrs
Not disclosed
Bengaluru","Bachelor of Engineering . Service Line experience in optimization (linear, mixed integ...","['Data Science', 'analytics', 'R', 'SAS', 'Data Scientist', 'statistical modeling', 'Campaign Management', 'data warehouse architecture']","7 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-infosys-limited-bengaluru-2-to-5-years-180324905073
6,Vision Plus Developer/ Analyst,"Infosys
3.8
32296 Reviews","2-5 Yrs
Not disclosed
Hyderabad","Master Of Business Management, Master Of Business Adm., Master Of Technology, Chartered...","['Vision Plus', 'chartered accountant', 'business management', 'accounting', 'financial services', 'digital transformation', 'finance', 'technology solutions']","7 Days Ago
Save",https://www.naukri.com/job-listings-vision-plus-developer-analyst-infosys-limited-hyderabad-2-to-5-years-180324906093
7,Business Analyst - Banking,"Infosys
3.8
32296 Reviews","2-3 Yrs
Not disclosed
Pune","Bachelor of Engineering, Bachelor Of Technology (Integrated), Bachelor Of Business Adm....","['business analysis', 'functional designs', 'Financial Services Domain', 'Business Analyst', 'Banking', 'technology solutions', 'Finance', 'DNS']","12 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-banking-infosys-limited-pune-2-to-3-years-130324909403
8,Machine Learning Engineer,"Infosys
3.8
32296 Reviews","4-5 Yrs
Not disclosed
Bengaluru",". Additional Responsibilities: . Masters degree in Computer Science Engineering, with R...","['Machine Learning', 'client relationship management', 'python', 'r', 'data analysis', 'data analytics', 'data science', 'business development']","15 Days Ago
Save",https://www.naukri.com/job-listings-machine-learning-engineer-infosys-limited-bengaluru-4-to-5-years-100324902310
9,Machine Learning Intern,"Liberin Technologies
4.5
20 Reviews","6 months duration
Unpaid
Noida",,[],"Internship
Starts in 1-3 months
Save",https://www.naukri.com/job-listings-machine-learning-intern-liberin-technologies-noida-0-to-2-years-300823500442
10,Data Scientist -Image Analytics - (Multiple locations)5+ Years,Crescendo Global Leadership Hiring India Private L Imited,"5-10 Yrs
Not disclosed
Hybrid - Noida, Uttar Pradesh, Pune, Maharashtra, Gurugram, Haryana",Our esteemed client is seeking an exceptionally skilled Data Scientist proficient in im...,"['Python', 'OCR', 'Pytorch', 'computer vision techniques', 'Tensorflow.', 'image analytics', 'openCv', 'Analytics']","2 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-image-analytics-multiple-locations-5-years-crescendo-global-leadership-hiring-india-private-l-imited-noida-uttar-pradesh-pune-maharashtra-gurugram-haryana-5-to-10-years-230224008169
11,Business Analyst,"Comviva Technology
3.4
588 Reviews","4-6 Yrs
Not disclosed
Hybrid - Bangalore Rural, Karnataka, Gurugram, Haryana",Company Profile:We are a leading global mobility solutions provider catering to the Bu...,"['Business Analyst', 'Brd', 'Requirement Gathering', 'FRD', 'Requirements', 'Business analysis']","3 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-comviva-technology-bangalore-rural-karnataka-gurugram-haryana-4-to-6-years-220324007925
12,Business Analyst,"Ebizon Net Info
3.5
57 Reviews","2-7 Yrs
Not disclosed
Noida",Requirements . 2+ Years of relevant experience as a Business AnalystCandidates with rel...,"['Business Analyst', 'Consulting', 'Video conferencing', 'Project planning', 'Customer service', 'Budgeting', 'microsoft', 'Forecasting']","11 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-ebizon-net-info-pvt-ltd-noida-2-to-7-years-140324502752
13,Business Analyst,"Optimum Info
4.6
2 Reviews","4-6 Yrs
Not disclosed
Noida",The Business Analyst will acquire subject matter expertise on Optimum s products and ...,"['Field operations', 'Financial statements', 'Business Analyst', 'Financial analysis', 'MS Office tools', 'Customer service', 'Subject matter expertise', 'Automotive']","30+ Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-optimum-info-noida-4-to-6-years-221222501280
14,Data Engineer - Team Lead (Finance Analytics ),"Rockwell Automation
4.1
455 Reviews","4-8 Yrs
Not disclosed
Noida, Kolkata, Hyderabad, Pune, Bengaluru","Bachelor s Degree . in computer science . ., . software engineering, . management infor...","['Data analysis', 'Automation', 'Data management', 'PAAS', 'sap data services', 'Data structures', 'microsoft', 'Open source']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-engineer-team-lead-finance-analytics-rockwell-automation-noida-kolkata-hyderabad-pune-bengaluru-4-to-8-years-140224501214
15,Sr Data Engineer,"Honeywell
3.8
1391 Reviews","4-6 Yrs
Not disclosed
Greater Noida, Bengaluru",". YOU MUST HAVE . Five or more years of relevant experience in data engineering, ETL de...","['Analytical', 'Machine learning', 'Schema', 'Database administration', 'Data quality', 'Analytics', 'SQL', 'Python']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-data-engineer-honeywell-greater-noida-bengaluru-4-to-6-years-291223500495
16,Sr Data Science Supervisor,"Honeywell
3.8
1391 Reviews","3-6 Yrs
Not disclosed
Greater Noida, Bengaluru",Some technologies you may apply to generate actionable insights include statistical ana...,"['Business process', 'Operations research', 'Version control', 'Simulation', 'data science', 'Artificial Intelligence', 'Machine learning', 'Analytics']","18 Days Ago
Save",https://www.naukri.com/job-listings-sr-data-science-supervisor-honeywell-greater-noida-bengaluru-3-to-6-years-070324500592
17,Senior Adv Engineer -AI/ML,"Honeywell
3.8
1391 Reviews","2-6 Yrs
Not disclosed
Greater Noida, Bengaluru",Experience in E2E system design and deployment of Data Pipeline and ML analytics. Senio...,"['continuous integration', 'Formulation', 'Machine learning', 'Data processing', 'System design', 'big data', 'Analytics', 'Monitoring']","30+ Days Ago
Save",https://www.naukri.com/job-listings-senior-adv-engineer-ai-ml-honeywell-greater-noida-bengaluru-2-to-6-years-060224500694
18,Sr Lead Business Analyst,"Birlasoft
3.8
2341 Reviews","13-20 Yrs
Not disclosed
Noida",Bachelor of Science degree preferably in a technical field (will consider other degrees...,"['Product management', 'Data migration', 'Business Analyst', 'Database design', 'Analytical', 'Lead Business Analyst', 'Healthcare', 'Data structures']","27 Days Ago
Save",https://www.naukri.com/job-listings-sr-lead-business-analyst-birlasoft-india-limited-noida-13-to-20-years-270224501463
19,Project Lead/Engineering Manager-Data Science,"Bold Technology Systems
3.4
163 Reviews","9-14 Yrs
Not disclosed
Hybrid - Noida, Uttar Pradesh",Role :BOLD is seeking for Data Science Architect for strategic ML development. You wil...,"['machine Learning', 'NLP', 'Python', 'Transformers', 'pyTorch', 'LLM', 'Scikit-Learn', 'SQL']","5 Days Ago
Save",https://www.naukri.com/job-listings-project-lead-engineering-manager-data-science-bold-technology-systems-noida-uttar-pradesh-9-to-14-years-030124010022
20,Sr. Business Analyst,"OSP LABS PVT LTD.
4.4
62 Reviews","5-8 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Comfortable working in US shiftsUnderstand the client requirement and provide the sugge...,"['System architecture', 'Business research', 'Service industry', 'Manager Technology', 'Senior Business Analyst', 'UPS', 'US healthcare', 'Open source']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-business-analyst-osp-labs-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-220923500363
21,Lead Business Analyst,"Qualtech Edge
3.7
123 Reviews","5-8 Yrs
Not disclosed
Noida","Client interactions, requirement gathering and management . Construct workflow charts a...","['Interpersonal skills', 'Publishing', 'Business analysis', 'Lead System Analyst', 'Lead Business Analyst', 'Information technology', 'Operations', 'Analytics']","30+ Days Ago
Save",https://www.naukri.com/job-listings-lead-business-analyst-qualtech-consultants-noida-5-to-8-years-271023501188
22,DS - NLP Expert,"Genpact
3.9
26580 Reviews","6-11 Yrs
Not disclosed
Hyderabad, Telangana, Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",ob Description :Inviting applications for the role of a Text Mining/NLP - Data Science...,"['Natural Language Processing', 'Nltk', 'Rnn', 'Lstm', 'LLMs', 'Artificial Intelligence', 'Text Mining', 'bert']","13 Days Ago
Save",https://www.naukri.com/job-listings-ds-nlp-expert-genpact-hyderabad-telangana-gurugram-haryana-bangalore-bengaluru-karnataka-6-to-11-years-211123007149
23,Generative AI Data Scientist,"Genpact
3.9
26580 Reviews","8-13 Yrs
Not disclosed
Hyderabad, Gurugram, Bengaluru","Expert level of understanding of NLP, NLU and Machine learning / Deep learning methods....","['Generative AI', 'LLM', 'Predictive Modeling', 'Natural Language Processing', 'Computer Vision', 'Machine Learning', 'Machine', 'Data']","13 Days Ago
Save",https://www.naukri.com/job-listings-generative-ai-data-scientist-genpact-hyderabad-gurugram-bengaluru-8-to-13-years-201123007411
24,Manager - Data Science,"Essencemediacom
1.5
7 Reviews","4-6 Yrs
Not disclosed
Gurugram, Bengaluru","In three months, you would have: . Been fully immersed in the team s . modelling . appr...","['Account Lead', 'nexus', 'Excel', 'data science', 'Analytical', 'Director', 'Advanced Excel', 'Econometrics']","4 Days Ago
Save",https://www.naukri.com/job-listings-manager-data-science-essencemediacom-canada-gurugram-bengaluru-4-to-6-years-210324500702
25,Manager - Data Science,Mplatform,"4-9 Yrs
Not disclosed
Gurugram, Bengaluru","Ensure our . modelling . processes . are . consistent across client . projects . ., wit...","['Account Lead', 'nexus', 'Excel', 'data science', 'Analytical', 'Director', 'Advanced Excel', 'Econometrics']","4 Days Ago
Save",https://www.naukri.com/job-listings-manager-data-science-mplatform-gurugram-bengaluru-4-to-9-years-210324500482
26,GN - Strategy - MC - Insurance- Retirements - 09,"Accenture
4.0
47023 Reviews","2-7 Yrs
Not disclosed
Mumbai, Gurugram, Bengaluru","Then, is the right place for you to explore limitless possibilities. . As a part of the...","['excel', 'drafting', 'spark', 'claims', 'mutual funds', 'project management', 'apqp', 'program management']","10 Days Ago
Save",https://www.naukri.com/job-listings-gn-strategy-mc-insurance-retirements-09-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-2-to-7-years-150324909582
27,Machine learning engineer or Intern,Talkvalley Edtech,"0-5 Yrs
3.5-5 Lacs PA
Pune, Delhi / NCR, Mumbai (All Areas)","You will be working remotely, ie work from home (WFH). .","['Python', 'Pandas', 'Machine Learning', 'Machine']","25 Days Ago
Save",https://www.naukri.com/job-listings-machine-learning-engineer-or-intern-talkvalley-edtech-pune-delhi-ncr-mumbai-all-areas-0-to-5-years-290224005474
28,Python engineer or Intern,Talkvalley Edtech,"0-5 Yrs
3.5-5 Lacs PA
Pune, Delhi / NCR, Mumbai (All Areas)","You will be working remotely, ie work from home (WFH). .","['Python', 'Pandas', 'Numpy']","25 Days Ago
Save",https://www.naukri.com/job-listings-python-engineer-or-intern-talkvalley-edtech-pune-delhi-ncr-mumbai-all-areas-0-to-5-years-290224005446
29,Research Scientist - Bioinformatics,"Biopeople India
4.4
6 Reviews","0-2 Yrs
Not disclosed
Gurugram","Experience in molecular biology and associated sequencing platforms, technologies, and ...","['Linux', 'data science', 'Pharma', 'Artificial Intelligence', 'Oncology', 'Perl', 'Molecular biology', 'JIRA']","30+ Days Ago
Save",https://www.naukri.com/job-listings-research-scientist-bioinformatics-biopeople-india-gurugram-0-to-2-years-210223501388
30,Business Analyst,"Comviva Technology
3.4
588 Reviews","2-3 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Degree: Bachelors Degree, Masters Degree . JD: Requirement GatheringDegree: Bachelors D...","['Product management', 'Training', 'Sanity testing', 'Compliance', 'Business analysis', 'Manager Program Management', 'UAT', 'Test cases']","30+ Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-comviva-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-3-years-271223501353
31,AI/ML Engineer - Tele-law Services - CSC,"National Institute for Smart Government (NISG)
3.8
176 Reviews","2-6 Yrs
Not disclosed
New Delhi, Delhi","Bachelors or Masters degree in Computer Science / Engineering, Mathematics, or a relate...","['AI/ML', 'Algorithms', 'Artificial Intelligence', 'Machine Learning', 'Framework', 'NLP', 'Tele law services', 'Deep Learning']","30+ Days Ago
Save",https://www.naukri.com/job-listings-ai-ml-engineer-tele-law-services-csc-national-institute-for-smart-government-nisg-new-delhi-delhi-2-to-6-years-230224007050
32,Analyst - Data Science,"AMERICAN EXPRESS
4.3
2725 Reviews","1-4 Yrs
Not disclosed
Gurugram","This Position is in GSG Advanced Analytics team as part of GSG MIS COE, is looking for ...","['Career development', 'deep learning', 'data science', 'Finance', 'MIS', 'Machine learning', 'Performance testing', 'Natural language processing']","4 Days Ago
Save",https://www.naukri.com/job-listings-analyst-data-science-american-express-company-gurugram-1-to-4-years-210324500117
33,Data Science & Operations Lead,"Nokia
4.2
2031 Reviews","15-17 Yrs
Not disclosed
Noida","Partner closely with product engineering to design, run, and analyze A / B and multivar...","['Customer acquisition', 'Automation', 'Front end', 'Data modeling', 'Agile', 'SPSS', 'Open source', 'Operations']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-science-operations-lead-nokia-solutions-and-networks-india-p-ltd-noida-15-to-17-years-160124502082
34,Lead Data Scientist- Inadev India Pvt Ltd,"INADEV
4.1
57 Reviews","8-13 Yrs
18-25 Lacs PA
Remote",Immediate joiners preferredExperience required- 8+ YearsInterested candidates with rele...,"['Data Science', 'Artificial Intelligence', 'Machine Learning', 'Python', 'Data', 'Science', 'Intelligence', 'Machine']","11 Days Ago
Save",https://www.naukri.com/job-listings-lead-data-scientist-inadev-india-pvt-ltd-inadev-noida-uttar-pradesh-8-to-13-years-140324007248
35,AIML Developer,"HCLTech
3.7
29016 Reviews","3-5 Yrs
Not disclosed
Noida",Experience Required: Proven experience (3-5years) in software development and architect...,"['machine learning', 'Fuzzy logic', 'deep learning', 'artificial Intelligence', 'PyTorch', 'Natural Language Processing', 'Computer Vision', 'Python']","Women candidates preferred
19 Days Ago
Save",https://www.naukri.com/job-listings-aiml-developer-hcl-technologies-limited-noida-3-to-5-years-060324907992
36,Data Scientist,"GSPANN
4.0
232 Reviews","4-9 Yrs
Not disclosed
Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram",We help clients transform how they deliver business value by helping them optimize thei...,"['Data Science', 'Machine Learning', 'Predictive Modeling', 'Pyspark', 'Hive', 'Spark', 'datascience', 'Analytics']","4 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-gspann-technologies-hyderabad-secunderabad-pune-gurgaon-gurugram-4-to-9-years-280223911830
37,Senior Business Analyst -Fintech,R.K. Bansal Finance,"3-8 Yrs
Not disclosed
Delhi / NCR(Karol Bagh)","Job Title: Business AnalystCompany: Ram Fincorp Pvt Ltd Location: Delhi, Karol BaghAbo...","['SAP ERP', 'Visio', 'Bpmn', 'Confluence', 'JIRA', 'Lean Six Sigma', 'Six sigma', 'ERP']","26 Days Ago
Save",https://www.naukri.com/job-listings-senior-business-analyst-fintech-r-k-bansal-finance-delhi-ncr-3-to-8-years-280224006216
38,Data Science Manager,"Beinex Consulting
3.6
22 Reviews","5-8 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Experience with web services like Redshift, S3, Spark, DigitalOcean, etcCollaborate wit...","['data science', 'Project execution', 'Science', 'Management', 'Project', 'Execution', 'Data']","13 Days Ago
Save",https://www.naukri.com/job-listings-data-science-manager-beinex-consulting-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-120324502430
39,GN-Strategy-MC-SC&O-SC Digital Core IBP-Analyst,"Accenture
4.0
47023 Reviews","4-8 Yrs
Not disclosed
Kolkata, Hyderabad, Bengaluru",Should have exposure to do the configuration as per designed solution. . o SAP IBP busi...,"['supply chain', 'presentation skills', 'business analysis', 'sap ibp', 'procurement', 'management consulting', 'supply network planning', 'cif']","16 Days Ago
Save",https://www.naukri.com/job-listings-gn-strategy-mc-sc-o-sc-digital-core-ibp-analyst-accenture-solutions-pvt-ltd-kolkata-hyderabad-bengaluru-4-to-8-years-090324904262
40,Analytics and ModelingÂ Senior Analyst,"Accenture
4.0
47023 Reviews","2-5 Yrs
Not disclosed
Pune, Gurugram, Bengaluru","Human Resources are at the heart of Accenture, unleashing the power of talent in everyt...","['modeling', 'secondary research', 'outsourcing', 'conceptualization', 'communication skills', 'advanced analytics', 'python', 'project management']","19 Days Ago
Save",https://www.naukri.com/job-listings-analytics-and-modeling-senior-analyst-accenture-solutions-pvt-ltd-pune-gurugram-bengaluru-2-to-5-years-060324911933
41,Sr. Data Analyst,"Ebizon Net Info
3.5
57 Reviews","1-3 Yrs
Not disclosed
Noida","Proven Business Analytics skills, including mining, evaluation, and visualization using...","['SAS', 'Technical writing', 'XML', 'Consulting', 'Javascript', 'Customer service', 'microsoft', 'Data mining']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-data-analyst-ebizon-net-info-pvt-ltd-noida-1-to-3-years-060224500662
42,ML Engineer,Miracle Solution,"6-12 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",The desired candidate should have experience in developing cutting-edge machine learnin...,"['Networking', 'Data modeling', 'Machine learning', 'Manager Technology', 'Technology', 'Modeling', 'Management', 'Ml']","30+ Days Ago
Save",https://www.naukri.com/job-listings-ml-engineer-miracle-software-solutions-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-12-years-151223501394
43,Manager - CXM,Trendence,"2-3 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Establish key performance indicators (KPIs) and metrics to measure customer experience ...,"['customer experience management', 'data analysis', 'marketing strategies', 'kpi', 'process improvement', 'business development', 'strategic planning', 'marketing']","30+ Days Ago
Save",https://www.naukri.com/job-listings-manager-cxm-trendence-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-3-years-130224501241
44,Manager - CXM,"Tredence
3.7
327 Reviews","2-3 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Establish key performance indicators (KPIs) and metrics to measure customer experience ...,"['customer experience management', 'data analysis', 'marketing strategies', 'kpi', 'process improvement', 'business development', 'strategic planning', 'marketing']","30+ Days Ago
Save",https://www.naukri.com/job-listings-manager-cxm-tredence-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-3-years-130224500721
45,IoT Architect,Coders Brain Pvt Ltd,"6-14 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Knowledge on emerging IoT and Mobile Technologies and Communication Protocols Experienc...,"['home automation', 'Communication protocols', 'Power management', 'Cloud Services', 'Programming', 'UART', 'Architecting', 'Sensors']","30+ Days Ago
Save",https://www.naukri.com/job-listings-iot-architect-coders-brain-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-14-years-280823501804
46,Lead Data Analytics Engineer,"Prudential Plc
2.4
3 Reviews","3-8 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Minimum Experience, Behaviors and Education Requirements: . Experience building data pi...","['Db2', 'Database design', 'Agile', 'Data processing', 'Data structures', 'data mapping', 'Troubleshooting', 'Oracle']","30+ Days Ago
Save",https://www.naukri.com/job-listings-lead-data-analytics-engineer-prudential-plc-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-181223500649
47,Research Associates,Openstream.ai,"1-4 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",The incumbent should be well versed in understanding and building dialog systems which ...,"['deep learning', 'C++', 'Automation', 'Publishing', 'Research', 'Research Associate', 'digital transformation', 'Python']","30+ Days Ago
Save",https://www.naukri.com/job-listings-research-associates-openstream-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-130423501928
48,Sr. Data Scientist,Attri,"5-10 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","5+ years hands on experience with Python, TensorFlow, Spark, Airflow, and SQL is import...","['amazon ec2', 'C++', 'Data analysis', 'Coding', 'Project management', 'Machine learning', 'Sensors', 'SQL']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-data-scientist-attri-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-110423501951
49,"AI, ML Track","Cloudseed Technologies
4.6
11 Reviews","2-5 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. We are seeking a highly motivated AI ML Track Fresh Graduate to join our growing team...,"['Software design', 'data science', 'Analytical', 'Machine learning', 'Data collection', 'Manager Technology', 'Programming', 'Data structures']","30+ Days Ago
Save",https://www.naukri.com/job-listings-ai-ml-track-cloudseed-technologies-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-5-years-070823501298
50,Data Engineer,"Koantek
3.8
31 Reviews","4-9 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Reinvent the future of your business with Koantek, a cutting-edge technology servi...","['IT services', 'Computer science', 'SAN', 'PDF', 'SMS', 'Test cases', 'Apache', 'CRM']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-engineer-koantek-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-040124502049
51,Solution Architect,Scribble Data,"1-2 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience developing and implementing best-in-class algorithms for multiple among user...,"['NoSQL', 'data science', 'Time series analysis', 'Customer engagement', 'MATLAB', 'Solution Architect', 'SQL', 'Python']","30+ Days Ago
Save",https://www.naukri.com/job-listings-solution-architect-scribble-data-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-010323500469
52,Senior Machine Learning Engineer - NLP,"Level Ai
3.0
4 Reviews","3-7 Yrs
Not disclosed
New Delhi",Proficient in PythonKnowledge and practical experience in solving NLP problems in areas...,"['Enterprise applications', 'Machine learning', 'Data structures', 'Silicon', 'Pattern recognition', 'Open source', 'Data mining', 'Monitoring']","5 Days Ago
Save",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-level-ai-new-delhi-3-to-7-years-200324501522
53,Power BI Consultant,"Ebizon Net Info
3.5
57 Reviews","1-3 Yrs
Not disclosed
Noida",Experience using business intelligence tools (like Tableau and Microsoft BI Power) . St...,"['Consulting', 'Machine learning', 'Video conferencing', 'Customer service', 'data visualization', 'Business intelligence', 'microsoft', 'Data mining']","30+ Days Ago
Save",https://www.naukri.com/job-listings-power-bi-consultant-ebizon-net-info-pvt-ltd-noida-1-to-3-years-230224501110
54,Analyst-Data Science,Resy,"1-3 Yrs
Not disclosed
Gurugram","Complete grip on Python environment and libraries (pandas, numpy, nltk, statsmodels, ge...","['Career development', 'deep learning', 'data science', 'Finance', 'MIS', 'Machine learning', 'Performance testing', 'Wellness']","4 Days Ago
Save",https://www.naukri.com/job-listings-analyst-data-science-resy-gurugram-1-to-3-years-210324501124
55,Senior Data Scientist (LLM),We Remote Devs Pvt Ltd.,"4-7 Yrs
35-45 Lacs PA
Hybrid - Kolkata, West Bengal, Singapore, Gurugram, Haryana","Qualifications: Educational Background: o Masters or PhD in Data Science, Statistics, C...","['LLM', 'Python', 'Tensorflow', 'Pytorch', 'Pyspark', 'Pandas', 'GPT', 'Numpy']","4 Days Ago
Save",https://www.naukri.com/job-listings-senior-data-scientist-llm-we-remote-devs-pvt-ltd-kolkata-west-bengal-gurugram-haryana-singapore-4-to-7-years-210324011263
56,Senior Data Scientist,We Remote Devs Pvt Ltd.,"4-7 Yrs
40-45 Lacs PA
Hybrid - Kolkata, West Bengal, Singapore, Gurugram, Haryana","Qualifications: Educational Background: o Masters or PhD in Data Science, Statistics, C...","['Pytorch', 'Tensorflow', 'Pyspark', 'R', 'Python', 'Data', 'Senior']","4 Days Ago
Save",https://www.naukri.com/job-listings-senior-data-scientist-we-remote-devs-pvt-ltd-kolkata-west-bengal-gurugram-haryana-singapore-4-to-7-years-210324010892
57,AI/Machine Learning Engineer with Ad tech exp,"Iatika Technologies
4.0
2 Reviews","5-10 Yrs
Not disclosed
Remote",We are seeking a talented AI/Machine Learning Engineer to join our growing team and pla...,"['Artificial Intelligence', 'Machine Learning', 'Ad Tech', 'Machine Learning Algorithms', 'Real-time bidding', 'Tensorflow', 'Algorithm Development', 'Rtb']","6 Days Ago
Save",https://www.naukri.com/job-listings-ai-machine-learning-engineer-with-ad-tech-exp-iatika-technologies-gurugram-haryana-5-to-10-years-190324006772
58,Sr. Data Analyst,"Ebizon Net Info
3.5
57 Reviews","1-3 Yrs
Not disclosed
Noida","Proven Business Analytics skills, including mining, evaluation, and visualization using...","['SAS', 'Technical writing', 'XML', 'Consulting', 'Javascript', 'Customer service', 'microsoft', 'Data mining']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-data-analyst-ebizon-noida-1-to-3-years-050224500542
