,title,row2,row3,job_description,skills,row6,link
366,Data Science Manager,"Chubb
3.8
116 Reviews","5-10 Yrs
Not disclosed
Bengaluru",We are seeking a highly skilled and experienced Manager with expertise in Actuarial dom...,"['Python', 'deep learning', 'r', 'nlp', 'data science', 'sas sql', 'insurance analytics', 'general insurance']","26 Days Ago
Save",https://www.naukri.com/job-listings-data-science-manager-chubb-business-services-india-private-limited-bengaluru-5-to-10-years-280224911527
367,Lead Data Scientist,"Freshworks
3.7
505 Reviews","7-12 Yrs
Not disclosed
Bengaluru","Qualifications: . A Bachelors degree or higher in Computer Science, Statistics, Mathema...","['IT services', 'NoSQL', 'Machine learning', 'Schema', 'Signal processing', 'System design', 'Data processing', 'Distribution system']","26 Days Ago
Save",https://www.naukri.com/job-listings-lead-data-scientist-freshdesk-bengaluru-7-to-12-years-280224502603
368,Delivery Manager For AI/ML,"Adamas Tech Consulting
3.5
30 Reviews","7-12 Yrs
Not disclosed
Bengaluru",Interact with Global customers and stake holders to be able to create a solution cater ...,"['AI', 'Aiml', 'Computer Vision', 'Machine Learning', 'Ml', 'NLP', 'Natural Language Processing', 'Vision']","26 Days Ago
Save",https://www.naukri.com/job-listings-delivery-manager-for-ai-ml-adamas-tech-consulting-bengaluru-7-to-12-years-280224008929
369,Principal Data & Applied Scientist Lead,"Microsoft
4.1
1428 Reviews","8-13 Yrs
Not disclosed
Bengaluru",Proven experience of 2+ years leading and mentoring a team of data scientists and machi...,"['Product management', 'Data analysis', 'Coding', 'data security', 'Project management', 'Machine learning', 'microsoft', 'Risk management']","27 Days Ago
Save",https://www.naukri.com/job-listings-principal-data-applied-scientist-lead-microsoft-india-r-and-d-pvt-ltd-bengaluru-8-to-13-years-270224501649
370,QA & Testing Senior Analyst,"Cigna
2.8
4 Reviews","4-6 Yrs
Not disclosed
Bengaluru","Bachelor s degree in Computer Science or a related discipline and at least two, typical...","['Manager Quality Assurance', 'Senior Analyst', 'Functional testing', 'Agile', 'Healthcare', 'HTML', 'Scrum', 'Selenium']","27 Days Ago
Save",https://www.naukri.com/job-listings-qa-testing-senior-analyst-cigna-healthcare-bengaluru-4-to-6-years-270224500139
371,Senior Data Scientist,"CPP Investments
2.9
7 Reviews","3-7 Yrs
Not disclosed
Bengaluru","Bachelor s or Master s degree in a quantitative discipline (e.g., data science, statist...","['Computer science', 'Product management', 'Coding', 'Analytical', 'Cognos', 'Data mining', 'Business intelligence', 'Digital marketing']","28 Days Ago
Save",https://www.naukri.com/job-listings-senior-data-scientist-cpp-investments-bengaluru-3-to-7-years-260224501326
372,Manager Data Science,"CPP Investments
2.9
7 Reviews","3-6 Yrs
Not disclosed
Bengaluru",Become proficient with Epsilon data assets . Be an active learner - learn new and state...,"['Logistic regression', 'Performance management', 'Analytical', 'Consulting', 'Machine learning', 'Presales', 'Instrumentation', 'Project delivery']","28 Days Ago
Save",https://www.naukri.com/job-listings-manager-data-science-cpp-investments-bengaluru-3-to-6-years-260224501267
373,Machine Learning Engineer,"Encora
3.8
522 Reviews","5-10 Yrs
Not disclosed
Remote",Experience: 5+years . What we are looking for: . Computer Science degree or equivalent...,"['Machine Learning', 'Tensorflow', 'Solution Architecting', 'Platform Development', 'argo', 'Big Data', 'Workflow', 'MLflow']","Women candidates preferred
28 Days Ago
Save",https://www.naukri.com/job-listings-machine-learning-engineer-encora-bengaluru-5-to-10-years-260224002728
374,Senior AI Research Engineer,"Alphasense
4.2
16 Reviews","5-7 Yrs
Not disclosed
Bengaluru",Requirements: . 5-7 years of experience would be ideal for this position . An expert in...,"['Computer science', 'Analytical skills', 'deep learning', 'Equity research', 'Debugging', 'Machine learning', 'Market intelligence', 'Natural language processing']","30+ Days Ago
Save",https://www.naukri.com/job-listings-senior-ai-research-engineer-alphasense-bengaluru-5-to-7-years-230224500601
375,Data Engineer Consultant/Senior Consultant,"Cervello
4.0
10 Reviews","5-10 Yrs
Not disclosed
Hybrid - Bengaluru(Indira Nagar)",Data EngineerSummary:Drive best possible solutions for clients and work closely with a ...,"['Azure Data Factory', 'Aws Cloud', 'Azure Cloud', 'Python', 'SQL', 'Pyspark', 'ETL Tool', 'Consulting']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-engineer-consultant-senior-consultant-cervello-bengaluru-5-to-10-years-230224006969
376,Data Scientist,"Winning Edge
2.5
3 Reviews","7-10 Yrs
Not disclosed
Bengaluru","Bachelor & degree or higher in Computer Science, Statistics, Mathematics, Engineering, ...","['R', 'data science', 'Python', 'SQL', 'Azure', 'PyTorch', 'data analysis', 'Keras']","16 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-edge-bengaluru-7-to-10-years-090324904964
377,Senior Data Analyst (Python),"Epsilon India
3.6
350 Reviews","5-8 Yrs
14-24 Lacs PA
Hybrid - Bengaluru, Karnataka","Senior Data AnalystCompany DescriptionWhen youre one of us, you get to run with the bes...","['DBMS', 'Reporting', 'Python', 'SQL', 'Senior', 'Data', 'Data analysis']","17 Days Ago
Save",https://www.naukri.com/job-listings-senior-data-analyst-python-epsilon-india-bengaluru-karnataka-5-to-8-years-080324006044
378,Senior AI Researcher,"Dolby
4.5
2 Reviews","3-7 Yrs
Not disclosed
Bengaluru",". Consequently, knowledge or experience in any / all of the following are helpful: . Di...","['deep learning', 'Literature', 'Intellectual property', 'Machine learning', 'Manager Technology', 'Natural language processing', 'Research', 'Analytics']","18 Days Ago
Save",https://www.naukri.com/job-listings-senior-ai-researcher-dolby-bengaluru-3-to-7-years-070324502426
379,Sr Database Analyst / Sr Data Engineer,Spendgo (Techkart Technologies Pvt Ltd),"6-11 Yrs
Not disclosed
Hybrid - Bengaluru",Designation: Sr Data Analyst / Sr Data Engineer Experience: 6+ YearsIf you're a detail-...,"['Data Migration', 'MySQL', 'SQL Queries', 'Performance Tuning', 'AWS', 'Query Optimization', 'Java', 'RDBMS']","18 Days Ago
Save",https://www.naukri.com/job-listings-sr-database-analyst-sr-data-engineer-spendgo-techkart-technologies-pvt-ltd-bengaluru-6-to-11-years-070324005574
380,Sas Data Analyst,"Knowledge Foundry
5.0
2 Reviews","4-6 Yrs
Not disclosed
Bengaluru",We are seeking a skilled and experienced Freelance SAS Clinical Data Analyst to join ou...,"['SAS', 'Clinical', 'Oncology', 'STDM', 'Data analysis', 'Data']","18 Days Ago
Save",https://www.naukri.com/job-listings-sas-data-analyst-knowledge-foundry-bengaluru-4-to-6-years-070324004802
381,Manager,"Infovision Labs
3.9
138 Reviews","4-8 Yrs
Not disclosed
Bengaluru","Experience in analyzing the data from some of the pivotal tools such as - Sprinklr, Bra...","['story boarding', 'Google Analytics', 'Sprinklr', 'Talkwaker', 'Omniture', 'data visualization', 'Brandwatch', 'Management']","21 Days Ago
Save",https://www.naukri.com/job-listings-manager-infovision-labs-india-pvt-ltd-bengaluru-4-to-8-years-040324901404
